file,original,transformed,n,n_observed,unique_original,unique_transformed,same_missingness,increasing_weak_order,decreasing_weak_order,median_scale,max_relative_scaling_error
GE_HH-Analysis_AllHHs.dta,p3_totincome_trim_BL,p3_totincome_trim_PPP_BL,8239,8239,604,604,True,True,False,0.02151000218700722,2.7826724958774334e-08
GE_HH-Analysis_AllHHs.dta,p3_totincome_wins,p3_totincome_wins_PPP,8239,8239,6621,6621,True,True,False,0.021510002157364524,4.3776779254161164e-08
GE_HH-Analysis_AllHHs.dta,p3_totincome_wins_BL,p3_totincome_wins_PPP_BL,8239,8239,604,604,True,True,False,0.021510002367424244,3.0094955965426205e-08
GE_HH-Analysis_AllHHs.dta,p4_1_agrevenue,p4_1_agrevenue_PPP,8239,8229,4967,4967,True,True,False,0.021510002136230468,4.2724243094484375e-08
GE_HH-Analysis_AllHHs.dta,p4_1_agrevenue_trim,p4_1_agrevenue_trim_PPP,8239,8147,4885,4885,True,True,False,0.021510002136230468,4.512161818164478e-08
GE_HH-Analysis_AllHHs.dta,p4_1_agrevenue_wins,p4_1_agrevenue_wins_PPP,8239,8229,4885,4885,True,True,False,0.021510002136230468,4.512161818164478e-08
GE_HH-Analysis_AllHHs.dta,p4_2_nonagrevenue,p4_2_nonagrevenue_PPP,8239,8135,548,548,True,True,False,0.021510002136230468,3.733584771848699e-09
GE_HH-Analysis_AllHHs.dta,p4_2_nonagrevenue_BL,p4_2_nonagrevenue_PPP_BL,8239,8239,367,367,True,True,False,0.02151000181833903,2.3066868978581384e-08
GE_HH-Analysis_AllHHs.dta,p4_2_nonagrevenue_trim,p4_2_nonagrevenue_trim_PPP,8239,8058,500,500,True,True,False,0.021510002136230468,3.428675417087724e-08
GE_HH-Analysis_AllHHs.dta,p4_2_nonagrevenue_trim_BL,p4_2_nonagrevenue_trim_PPP_BL,8239,8239,325,325,True,True,False,0.02151000272310697,5.165749702183785e-08
GE_HH-Analysis_AllHHs.dta,p4_2_nonagrevenue_wins,p4_2_nonagrevenue_wins_PPP,8239,8135,500,500,True,True,False,0.021510002136230468,3.428675417087724e-08
GE_HH-Analysis_AllHHs.dta,p4_2_nonagrevenue_wins_BL,p4_2_nonagrevenue_wins_PPP_BL,8239,8239,325,325,True,True,False,0.021510002515690352,4.426468448530341e-08
GE_HH-Analysis_AllHHs.dta,p4_4_totcosts,p4_4_totcosts_PPP,8239,8230,2822,2822,True,True,False,0.021510002136230468,1.736910968949052e-08
GE_HH-Analysis_AllHHs.dta,p4_4_totcosts_BL,p4_4_totcosts_PPP_BL,8239,8239,922,922,True,True,False,0.021510002048005773,2.3290378133836857e-08
GE_HH-Analysis_AllHHs.dta,p4_4_totcosts_trim,p4_4_totcosts_trim_PPP,8239,8148,2740,2740,True,True,False,0.021510002136230468,3.790840807767773e-08
GE_HH-Analysis_AllHHs.dta,p4_4_totcosts_trim_BL,p4_4_totcosts_trim_PPP_BL,8239,8239,857,857,True,True,False,0.021510001887445864,5.8286410490428624e-08
GE_HH-Analysis_AllHHs.dta,p4_4_totcosts_wins,p4_4_totcosts_wins_PPP,8239,8230,2740,2740,True,True,False,0.021510002136230468,3.790840807767773e-08
GE_HH-Analysis_AllHHs.dta,p4_4_totcosts_wins_BL,p4_4_totcosts_wins_PPP_BL,8239,8239,857,857,True,True,False,0.021510001887445864,5.8286410490428624e-08
GE_HH-Analysis_AllHHs.dta,p4_5_agcosts,p4_5_agcosts_PPP,8239,7939,1387,1387,True,True,False,0.021510002136230468,4.5142431853242834e-08
GE_HH-Analysis_AllHHs.dta,p4_5_agcosts_BL,p4_5_agcosts_PPP_BL,8239,8239,650,650,True,True,False,0.02151000181833903,1.4305265582864811e-08
GE_HH-Analysis_AllHHs.dta,p4_5_agcosts_trim,p4_5_agcosts_trim_PPP,8239,7861,1315,1315,True,True,False,0.021510002136230468,4.290611565237067e-08
GE_HH-Analysis_AllHHs.dta,p4_5_agcosts_trim_BL,p4_5_agcosts_trim_PPP_BL,8239,8239,585,585,True,True,False,0.021510002613067628,6.092736279739564e-08
GE_HH-Analysis_AllHHs.dta,p4_5_agcosts_wins,p4_5_agcosts_wins_PPP,8239,7939,1315,1315,True,True,False,0.021510002136230468,4.290611565237067e-08
GE_HH-Analysis_AllHHs.dta,p4_5_agcosts_wins_BL,p4_5_agcosts_wins_PPP_BL,8239,8239,585,585,True,True,False,0.021510002444819543,5.4756514333304145e-08
GE_HH-Analysis_AllHHs.dta,p4_6_nonagcosts,p4_6_nonagcosts_PPP,8239,8200,926,926,True,True,False,0.021510002136230468,1.698866340212691e-08
GE_HH-Analysis_AllHHs.dta,p4_6_nonagcosts_BL,p4_6_nonagcosts_PPP_BL,8239,8239,474,474,True,True,False,0.021510002689686128,5.3122098769432496e-08
GE_HH-Analysis_AllHHs.dta,p4_6_nonagcosts_trim,p4_6_nonagcosts_trim_PPP,8239,8119,851,851,True,True,False,0.021510002136230468,3.882957900535551e-08
GE_HH-Analysis_AllHHs.dta,p4_6_nonagcosts_trim_BL,p4_6_nonagcosts_trim_PPP_BL,8239,8239,412,412,True,True,False,0.021510002060652827,4.1865699733098584e-08
GE_HH-Analysis_AllHHs.dta,p4_6_nonagcosts_wins,p4_6_nonagcosts_wins_PPP,8239,8200,851,851,True,True,False,0.021510002136230468,3.882957900535551e-08
GE_HH-Analysis_AllHHs.dta,p4_6_nonagcosts_wins_BL,p4_6_nonagcosts_wins_PPP_BL,8239,8239,412,412,True,True,False,0.021510002689976847,5.994496319039539e-08
GE_HH-Analysis_AllHHs.dta,p4_totrevenue,p4_totrevenue_PPP,8239,8229,5822,5822,True,True,False,0.021510002136230468,9.295854559917181e-09
GE_HH-Analysis_AllHHs.dta,p4_totrevenue_BL,p4_totrevenue_PPP_BL,8239,8239,367,367,True,True,False,0.02151000181833903,2.3066868978581384e-08
GE_HH-Analysis_AllHHs.dta,p4_totrevenue_trim,p4_totrevenue_trim_PPP,8239,8147,5740,5740,True,True,False,0.021510002136230468,3.704545803819559e-08
GE_HH-Analysis_AllHHs.dta,p4_totrevenue_trim_BL,p4_totrevenue_trim_PPP_BL,8239,8239,325,325,True,True,False,0.02151000272310697,5.165749702183785e-08
GE_HH-Analysis_AllHHs.dta,p4_totrevenue_wins,p4_totrevenue_wins_PPP,8239,8229,5740,5740,True,True,False,0.021510002136230468,3.704545803819559e-08
GE_HH-Analysis_AllHHs.dta,p4_totrevenue_wins_BL,p4_totrevenue_wins_PPP_BL,8239,8239,325,325,True,True,False,0.021510002515690352,4.426468448530341e-08
GE_HH-Analysis_AllHHs.dta,p7_1_educexpense,p7_1_educexpense_PPP,8239,7746,1864,1856,True,False,False,0.021510002136230468,2.175435338283146e-08
GE_HH-Analysis_AllHHs.dta,p7_1_educexpense_trim,p7_1_educexpense_trim_PPP,8239,7674,1816,1808,True,False,False,0.021510002136230468,2.8375243757531498e-08
GE_HH-Analysis_AllHHs.dta,p7_1_educexpense_wins,p7_1_educexpense_wins_PPP,8239,7746,1816,1808,True,False,False,0.021510002136230468,2.8375243757531498e-08
