"cell_id","panel","multiplicity","trees","mtry_rule","actual_mtry","n_train","noise_sd","method","metric","replications","mean","sd","se_mean","ci95_low","ci95_high"
"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_010",20,0.143003466657839,0.0903171260076514,0.0201955233285523,0.100733750539815,0.185273182775863
"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_025",20,0.00155998554578824,0.00130544624162424,0.000291906653724341,0.00094901789790136,0.00217095319367512
"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_025",20,0.165443054375407,0.105475335317907,0.0235850019720424,0.116079077924655,0.214807030826159
"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","mean_absolute_prediction_change",20,0.332323038839861,0.0131709128349308,0.00294510564246296,0.326158861887412,0.338487215792309
"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","cate_correlation",20,0.761993120610962,0.0143138601439764,0.00320067643023562,0.755294027852101,0.768692213369823
"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","cate_rank_correlation",20,0.800167050615652,0.0117998285881907,0.00263852188460397,0.794644560843093,0.805689540388211
"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","sign_reversal",20,0.36249,0.0813066817852258,0.0181807267496709,0.324437301586314,0.400542698413686
"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","positive_to_negative",20,0.121378333333333,0.0819769574492221,0.0183306049445068,0.0830119362526246,0.159744730414042
"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","negative_to_positive",20,0.241111666666667,0.00627212598147433,0.00140249000580192,0.238176221348456,0.244047111984877
"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","strong_reversal_010",20,0.25757,0.0574923772216499,0.012855686365567,0.230662739200939,0.284477260799061
"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","strong_reversal_025",20,0.0701366666666667,0.0558756868947927,0.0124941834186251,0.043986040231295,0.0962872931020384
"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_010",20,0.323110645594706,0.0551558741279352,0.0123332283908485,0.297296901904149,0.348924389285264
"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_025",20,0.114595109358088,0.0831484396822469,0.0185925563352545,0.0756804417154587,0.153509777000717
"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_010",20,0.277056107869269,0.0930260432526397,0.0208012556390738,0.233518579454791,0.320593636283747
"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_025",20,0.161995437965877,0.10914654224351,0.024405908796554,0.110913283784994,0.21307759214676
"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_010",20,0.140795321497326,0.00336622719538617,0.000752711283659194,0.139219878674602,0.142370764320049
"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_010",20,0.139645061408102,0.0937806031498167,0.0209699803613921,0.0957543880912385,0.183535734724966
"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_025",20,0.00149106886992757,0.00129094392509994,0.000288663837166387,0.000886888515100518,0.00209524922475462
"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_025",20,0.161512766964777,0.109486374037037,0.0244818974956783,0.110271566608764,0.21275396732079
"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","mean_absolute_prediction_change",20,0.32976107528665,0.0133766135020622,0.00299110170993525,0.323500627458574,0.336021523114726
"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","cate_correlation",20,0.993563320527971,0.000782514156666676,0.000174975484766261,0.993197092629423,0.993929548426518
"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","cate_rank_correlation",20,0.97332744963963,0.0384007994955971,0.00858667980624947,0.955355322257648,0.991299577021613
"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","sign_reversal",20,0.0736533333333333,0.0530425520453662,0.0118606752073509,0.0488286548228236,0.0984780118438431
"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","positive_to_negative",20,0.00255333333333333,0.00273197227559503,0.000610887572087528,0.00127473095041505,0.00383193571625162
"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","negative_to_positive",20,0.0711,0.0536335988348405,0.0119928372872657,0.045998703077148,0.096201296922852
"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","strong_reversal_010",20,0.000136666666666667,0.000229135165299018,5.12361805644255e-05,2.94281082893167e-05,0.000243905225044017
