"replication","data_seed","forest_seed","scenario","method","n_train","n_test","raw_dimension","fitted_dimension","semantic_dimension","mtry","budget_share","maximum_absolute_prediction_difference","cate_rmse","cate_correlation","cate_rank_correlation","representation_cate_correlation","representation_rank_correlation","assignment_switching","top_set_overlap","policy_value","policy_regret","policy_value_difference","regret_difference","share_group_a_treated","share_group_b_treated"
17,20270825,20280825,"canonical","ordinary",3000,30000,20,20,20,6,0.2,0,0.411595521447339,0.804150063246433,0.703355565412173,1,1,0,1,0.276545251368966,0.0131731150566203,0,0,0.900166666666667,0.0643333333333333
17,20270825,20280825,"canonical","exact_deduplication",3000,30000,20,20,20,6,0.2,0,0.411595521447339,0.804150063246433,0.703355565412173,1,1,0,1,0.276545251368966,0.0131731150566203,0,0,0.900166666666667,0.0643333333333333
17,20270825,20280825,"canonical","dimension_adjusted_mtry",3000,30000,20,20,20,6,0.2,0,0.411595521447339,0.804150063246433,0.703355565412173,1,1,0,1,0.276545251368966,0.0131731150566203,0,0,0.900166666666667,0.0643333333333333
17,20270825,20280825,"canonical","class_sampled",3000,30000,20,20,20,6,0.2,0,0.412354341028612,0.805510368707657,0.698635156683372,1,1,0,1,0.275892834151471,0.0138255322741145,0,0,0.902333333333333,0.0595
17,20270825,20280825,"administrative_aliases","ordinary",3000,30000,23,23,20,6,0.2,0.209957818632042,0.395630331970926,0.7962486919562,0.687476295573196,0.994251823117927,0.949905321551006,0.0160666666666667,0.922768787053357,0.277070671871731,0.0126476945538544,0.000525420502765828,-0.000525420502765828,0.914833333333333,0.0488333333333333
17,20270825,20280825,"administrative_aliases","exact_deduplication",3000,30000,23,20,20,6,0.2,0,0.411595521447339,0.804150063246433,0.703355565412173,1,1,0,1,0.276545251368966,0.0131731150566203,0,0,0.900166666666667,0.0643333333333333
17,20270825,20280825,"administrative_aliases","dimension_adjusted_mtry",3000,30000,23,23,20,7,0.2,0.267267333580431,0.385610407127242,0.80796071098197,0.702094673296105,0.994094626166303,0.952482368111203,0.0191333333333333,0.908700493080961,0.279875199033083,0.00984316739250285,0.00332994766411743,-0.00332994766411743,0.932666666666667,0.0393333333333333
17,20270825,20280825,"administrative_aliases","class_sampled",3000,30000,23,20,20,6,0.2,0,0.412354341028612,0.805510368707657,0.698635156683372,1,1,0,1,0.275892834151471,0.0138255322741145,0,0,0.902333333333333,0.0595
17,20270825,20280825,"unit_recodings","ordinary",3000,30000,23,23,20,6,0.2,0.145118933659862,0.415984340403621,0.804409290374431,0.69335442764106,0.993776434310445,0.956946476582385,0.0187333333333333,0.910523801942366,0.273511314997701,0.0162070514278844,-0.00303393637126415,0.00303393637126415,0.8765,0.083
17,20270825,20280825,"unit_recodings","exact_deduplication",3000,30000,23,23,20,6,0.2,0.145118933659862,0.415984340403621,0.804409290374431,0.69335442764106,0.993776434310445,0.956946476582385,0.0187333333333333,0.910523801942366,0.273511314997701,0.0162070514278844,-0.00303393637126415,0.00303393637126415,0.8765,0.083
17,20270825,20280825,"unit_recodings","dimension_adjusted_mtry",3000,30000,23,23,20,7,0.2,0.136178140269674,0.405266761421585,0.81449595255665,0.68876170225818,0.994307017434819,0.956365469415517,0.0155333333333333,0.925236643670785,0.27733866263237,0.0123797037932156,0.000793411263404653,-0.000793411263404653,0.901333333333333,0.0676666666666667
17,20270825,20280825,"unit_recodings","class_sampled",3000,30000,23,20,20,6,0.2,0,0.412354341028612,0.805510368707657,0.698635156683372,1,1,0,1,0.275892834151471,0.0138255322741145,0,0,0.902333333333333,0.0595
17,20270825,20280825,"complements","ordinary",3000,30000,23,23,20,6,0.2,0.173420193693994,0.409958288572951,0.829649286579934,0.697265919920073,0.991880817671438,0.955902192169669,0.0178,0.914791766395404,0.28058263645933,0.00913572996625572,0.00403738509036455,-0.00403738509036455,0.9315,0.0435
17,20270825,20280825,"complements","exact_deduplication",3000,30000,23,23,20,6,0.2,0.173420193693994,0.409958288572951,0.829649286579934,0.697265919920073,0.991880817671438,0.955902192169669,0.0178,0.914791766395404,0.28058263645933,0.00913572996625572,0.00403738509036455,-0.00403738509036455,0.9315,0.0435
17,20270825,20280825,"complements","dimension_adjusted_mtry",3000,30000,23,23,20,7,0.2,0.177583988939316,0.393328691294548,0.834949683997479,0.71071342129057,0.99146681697579,0.955994609637772,0.0205333333333333,0.902346227013316,0.282915149524876,0.00680321690071028,0.00636989815590999,-0.00636989815590999,0.943166666666667,0.0403333333333333
17,20270825,20280825,"complements","class_sampled",3000,30000,23,20,20,6,0.2,0,0.412354341028612,0.805510368707657,0.698635156683372,1,1,0,1,0.275892834151471,0.0138255322741145,0,0,0.902333333333333,0.0595
17,20270825,20280825,"raw_log_rank","ordinary",3000,30000,26,26,20,6,0.2,0.317739011405764,0.345610424661451,0.862504103887218,0.687906410668785,0.984162236375501,0.947163969182182,0.0259333333333333,0.878228204726874,0.28634396603531,0.00337440039027637,0.00979871466634391,-0.00979871466634391,0.959,0.0361666666666667
17,20270825,20280825,"raw_log_rank","exact_deduplication",3000,30000,26,26,20,6,0.2,0.317739011405764,0.345610424661451,0.862504103887218,0.687906410668785,0.984162236375501,0.947163969182182,0.0259333333333333,0.878228204726874,0.28634396603531,0.00337440039027637,0.00979871466634391,-0.00979871466634391,0.959,0.0361666666666667
17,20270825,20280825,"raw_log_rank","dimension_adjusted_mtry",3000,30000,26,26,20,8,0.2,0.354503608332704,0.334467489928306,0.868364026489158,0.7056405760276,0.982334169227329,0.944192721926881,0.0293333333333333,0.863354037267081,0.286957637174709,0.00276072925087734,0.0104123858057429,-0.0104123858057429,0.970166666666667,0.0243333333333333
17,20270825,20280825,"raw_log_rank","class_sampled",3000,30000,26,20,20,6,0.2,0,0.412354341028612,0.805510368707657,0.698635156683372,1,1,0,1,0.275892834151471,0.0138255322741145,0,0,0.902333333333333,0.0595
17,20270825,20280825,"routine_bundle","ordinary",3000,30000,35,35,20,6,0.2,0.335351752993505,0.342553210901702,0.866055847493221,0.673771522601968,0.982538064919482,0.94101485455935,0.0267333333333333,0.874707077019216,0.286668483909258,0.0030498825163276,0.0101232325402927,-0.0101232325402927,0.961833333333333,0.0338333333333333
17,20270825,20280825,"routine_bundle","exact_deduplication",3000,30000,35,32,20,6,0.2,0.303347478671556,0.349123441665887,0.86664002139361,0.69819992949,0.982747974535017,0.944521660906802,0.0257333333333333,0.879110554337614,0.28629589482609,0.00342247159949616,0.00975064345712412,-0.00975064345712412,0.9585,0.0363333333333333
17,20270825,20280825,"routine_bundle","dimension_adjusted_mtry",3000,30000,35,35,20,11,0.2,0.383094268785699,0.331709641254519,0.867762002919938,0.686710696535456,0.978866637610656,0.939987893476431,0.0318,0.852709587772117,0.287613475657393,0.00210489076819304,0.0110682242884272,-0.0110682242884272,0.977833333333333,0.017
17,20270825,20280825,"routine_bundle","class_sampled",3000,30000,35,20,20,6,0.2,0,0.412354341028612,0.805510368707657,0.698635156683372,1,1,0,1,0.275892834151471,0.0138255322741145,0,0,0.902333333333333,0.0595
18,20270826,20280826,"canonical","ordinary",3000,30000,20,20,20,6,0.2,0,0.378764934271597,0.811764790593897,0.655100690253667,1,1,0,1,0.27997455047126,0.00958554076764112,0,0,0.947333333333333,0.0233333333333333
18,20270826,20280826,"canonical","exact_deduplication",3000,30000,20,20,20,6,0.2,0,0.378764934271597,0.811764790593897,0.655100690253667,1,1,0,1,0.27997455047126,0.00958554076764112,0,0,0.947333333333333,0.0233333333333333
18,20270826,20280826,"canonical","dimension_adjusted_mtry",3000,30000,20,20,20,6,0.2,0,0.378764934271597,0.811764790593897,0.655100690253667,1,1,0,1,0.27997455047126,0.00958554076764112,0,0,0.947333333333333,0.0233333333333333
18,20270826,20280826,"canonical","class_sampled",3000,30000,20,20,20,6,0.2,0,0.377796584869225,0.812399701760536,0.6577598750584,1,1,0,1,0.279785977025091,0.00977411421381014,0,0,0.945666666666667,0.0243333333333333
18,20270826,20280826,"administrative_aliases","ordinary",3000,30000,23,23,20,6,0.2,0.213422193791132,0.362129692439699,0.810894412003085,0.665892815870548,0.99603429497779,0.960790576470212,0.00906666666666667,0.955671447196871,0.279242147740336,0.0103179434985657,-0.00073240273092462,0.00073240273092462,0.948333333333333,0.0181666666666667
18,20270826,20280826,"administrative_aliases","exact_deduplication",3000,30000,23,20,20,6,0.2,0,0.378764934271597,0.811764790593897,0.655100690253667,1,1,0,1,0.27997455047126,0.00958554076764112,0,0,0.947333333333333,0.0233333333333333
18,20270826,20280826,"administrative_aliases","dimension_adjusted_mtry",3000,30000,23,23,20,7,0.2,0.25537890073639,0.352942504298947,0.820157660245272,0.659082293636314,0.995482345307337,0.960632035066924,0.00913333333333333,0.955352778230406,0.281369675803823,0.00819041543507781,0.00139512533256331,-0.00139512533256331,0.9545,0.02
18,20270826,20280826,"administrative_aliases","class_sampled",3000,30000,23,20,20,6,0.2,0,0.377796584869225,0.812399701760536,0.6577598750584,1,1,0,1,0.279785977025091,0.00977411421381014,0,0,0.945666666666667,0.0243333333333333
18,20270826,20280826,"unit_recodings","ordinary",3000,30000,23,23,20,6,0.2,0.148132836187217,0.385614715057931,0.810467568642445,0.645333645985926,0.995473046185247,0.961080048623867,0.0111333333333333,0.945840765364034,0.27959647129677,0.00996361994213169,-0.000378079174490564,0.000378079174490564,0.938166666666667,0.0333333333333333
18,20270826,20280826,"unit_recodings","exact_deduplication",3000,30000,23,23,20,6,0.2,0.148132836187217,0.385614715057931,0.810467568642445,0.645333645985926,0.995473046185247,0.961080048623867,0.0111333333333333,0.945840765364034,0.27959647129677,0.00996361994213169,-0.000378079174490564,0.000378079174490564,0.938166666666667,0.0333333333333333
18,20270826,20280826,"unit_recodings","dimension_adjusted_mtry",3000,30000,23,23,20,7,0.2,0.137851265244259,0.37184267789057,0.820645215738696,0.656938168981931,0.995573262449865,0.962157323684175,0.0094,0.954079140205178,0.280396350060494,0.0091637411784069,0.000421799589234217,-0.000421799589234217,0.948,0.0235
18,20270826,20280826,"unit_recodings","class_sampled",3000,30000,23,20,20,6,0.2,0,0.377796584869225,0.812399701760536,0.6577598750584,1,1,0,1,0.279785977025091,0.00977411421381014,0,0,0.945666666666667,0.0243333333333333
