"scenario","method","metric","replications","mean","sd","se_mean","ci95_low","ci95_high","q025","median","q975"
"unit_recodings","dimension_adjusted_mtry","cate_correlation",20,0.846694850227508,0.0265205613188893,0.0059301777910488,0.834282845463925,0.859106854991091,0.810136928271634,0.85243246075891,0.884535559977478
"unit_recodings","dimension_adjusted_mtry","cate_rank_correlation",20,0.661386631874122,0.0316566682533609,0.00707864621556746,0.646570855072293,0.676202408675951,0.609729534031122,0.662400188113333,0.720203898574449
"unit_recodings","dimension_adjusted_mtry","representation_cate_correlation",20,0.992116767339148,0.00243387815615257,0.000544231700610899,0.990977677298598,0.993255857379698,0.986670399326336,0.992481616256432,0.995534124656563
"unit_recodings","dimension_adjusted_mtry","representation_rank_correlation",20,0.969440473512089,0.00859299165958124,0.00192145134809124,0.965418829621159,0.97346211740302,0.951139760177844,0.971393371661993,0.980106353436963
"unit_recodings","dimension_adjusted_mtry","assignment_switching",20,0.0122566666666667,0.0042670654967104,0.000954144851508836,0.0102596185410688,0.0142537147922645,0.00604666666666667,0.0124333333333333,0.0209966666666667
"unit_recodings","dimension_adjusted_mtry","top_set_overlap",20,0.940734786085764,0.0199476450711963,0.00446042903702335,0.931399000818293,0.950070571353235,0.900324918559583,0.939707541495548,0.970218795051084
"unit_recodings","dimension_adjusted_mtry","policy_value",20,0.279916736252029,0.00420178371876544,0.000939547402191138,0.277950240938986,0.281883231565071,0.27255532777202,0.280056495700928,0.286680342899291
"unit_recodings","dimension_adjusted_mtry","policy_regret",20,0.00918236125971932,0.00427290071647083,0.000955449646313632,0.00718258216720898,0.0111821403522297,0.00265168062321346,0.00872232787422053,0.0169641923611539
"unit_recodings","dimension_adjusted_mtry","policy_value_difference",20,0.000212811049442327,0.00120202318479734,0.000268780555173765,-0.000349753117893583,0.000775375216778237,-0.00124818007003157,0.000159519016819681,0.00288930925613077
"unit_recodings","dimension_adjusted_mtry","regret_difference",20,-0.000212811049442327,0.00120202318479734,0.000268780555173765,-0.000775375216778237,0.000349753117893583,-0.00288930925613077,-0.000159519016819681,0.00124818007003157
"unit_recodings","class_sampled","cate_rmse",20,0.389606749322032,0.0218511721515237,0.00488607063188573,0.379380085957957,0.399833412686107,0.36152716581258,0.38592436618117,0.433810710631213
"unit_recodings","class_sampled","cate_correlation",20,0.83776637610108,0.0256783193515458,0.00574184676180048,0.825748552711905,0.849784199490255,0.804143201169188,0.843039223588761,0.869143255375077
"unit_recodings","class_sampled","cate_rank_correlation",20,0.665979296011425,0.0363819331367402,0.00813524756466032,0.648952027170024,0.683006564852826,0.606287588702864,0.663035842807151,0.729439674328155
"unit_recodings","class_sampled","representation_cate_correlation",20,1,1.0188105198175e-16,2.27812957850383e-17,1,1,1,1,1
"unit_recodings","class_sampled","representation_rank_correlation",20,1,0,0,1,1,1,1,1
"unit_recodings","class_sampled","assignment_switching",20,0,0,0,0,0,0,0,0
"unit_recodings","class_sampled","top_set_overlap",20,1,0,0,1,1,1,1,1
"unit_recodings","class_sampled","policy_value",20,0.279562492573061,0.00433267717670501,0.000968816069167428,0.277534737235996,0.281590247910126,0.272653748765621,0.279262810925247,0.285956295467184
"unit_recodings","class_sampled","policy_regret",20,0.00953660493868661,0.00438005515270223,0.000979410106664041,0.00748667602630817,0.0115865338510651,0.00328149103318214,0.0101706951403943,0.0165490189468038
"unit_recodings","class_sampled","policy_value_difference",20,0,0,0,0,0,0,0,0
"unit_recodings","class_sampled","regret_difference",20,0,0,0,0,0,0,0,0
